COUNTRY,URL
palestinian,https://culturalatlas.sbs.com.au/palestinian-culture/palestinian-culture-core-concepts#palestinian-culture-core-concepts
saudi-arabian,https://culturalatlas.sbs.com.au/saudi-arabian-culture/saudi-arabian-culture-core-concepts#saudi-arabian-culture-core-concepts
syrian,https://culturalatlas.sbs.com.au/syrian-culture/syrian-culture-core-concepts#syrian-culture-core-concepts
turkish,https://culturalatlas.sbs.com.au/turkish-culture/turkish-culture-core-concepts#turkish-culture-core-concepts
australian,https://culturalatlas.sbs.com.au/australian-culture/australian-culture-core-concepts#australian-culture-core-concepts
fijian,https://culturalatlas.sbs.com.au/fijian-culture/fijian-culture-core-concepts#fijian-culture-core-concepts
new-zealand,https://culturalatlas.sbs.com.au/new-zealand-culture/new-zealand-culture-core-concepts#new-zealand-culture-core-concepts
papua-new-guinean,https://culturalatlas.sbs.com.au/papua-new-guinean-culture/papua-new-guinean-culture-core-concepts#papua-new-guinean-culture-core-concepts
samoan,https://culturalatlas.sbs.com.au/samoan-culture/samoan-culture-core-concepts#samoan-culture-core-concepts
tongan,https://culturalatlas.sbs.com.au/tongan-culture/tongan-culture-core-concepts#tongan-culture-core-concepts
argentine,https://culturalatlas.sbs.com.au/argentine-culture/argentine-culture-core-concepts#argentine-culture-core-concepts
brazilian,https://culturalatlas.sbs.com.au/brazilian-culture/brazilian-culture-core-concepts#brazilian-culture-core-concepts
canadian,https://culturalatlas.sbs.com.au/canadian-culture/canadian-culture-core-concepts#canadian-culture-core-concepts
chilean,https://culturalatlas.sbs.com.au/chilean-culture/chilean-culture-core-concepts#chilean-culture-core-concepts
colombian,https://culturalatlas.sbs.com.au/colombian-culture/colombian-culture-core-concepts#colombian-culture-core-concepts
mexican,https://culturalatlas.sbs.com.au/mexican-culture/mexican-culture-core-concepts#mexican-culture-core-concepts
peruvian,https://culturalatlas.sbs.com.au/peruvian-culture/peruvian-culture-core-concepts#peruvian-culture-core-concepts
american,https://culturalatlas.sbs.com.au/american-culture/american-culture-core-concepts#american-culture-core-concepts
venezuelan,https://culturalatlas.sbs.com.au/venezuelan-culture/venezuelan-culture-core-concepts#venezuelan-culture-core-concepts
